unix_ts,elapsed_sec,connections,session_unregister_total,session_unregister_delta,disconnect_queue_size,udp_send_errors_total,udp_send_errors_delta
1771859245.719,0.826,38,190,0,0,0,0
1771859246.662,1.831,41,675,485,0,0,0
1771859247.706,2.836,7,1229,554,0,0,0
1771859248.694,3.845,26,1782,553,0,0,0
1771859249.741,4.855,44,2286,504,0,0,0
1771859250.720,5.855,37,2753,467,0,0,0
1771859251.697,6.855,30,3248,495,0,0,0
1771859252.702,7.860,32,3726,478,0,0,0
1771859253.737,8.860,34,4236,510,0,0,0
1771859254.702,9.871,38,4706,470,0,0,0
1771859255.738,10.871,47,5155,449,0,0,0
1771859256.742,11.871,42,5649,494,0,0,0
1771859257.733,12.881,32,6093,444,0,0,0
1771859258.764,13.881,33,6569,476,0,0,0
1771859259.782,14.881,24,6999,430,0,0,0
1771859260.733,15.882,14,7405,406,0,0,0
1771859261.758,16.882,16,7839,434,0,0,0
1771859262.783,17.912,31,8321,482,0,0,0
1771859263.809,18.912,34,8709,388,0,0,0
1771859264.784,19.932,36,9037,328,0,0,0
1771859265.764,20.937,33,9508,471,0,0,0
1771859266.789,21.937,46,9856,348,1,0,0
1771859267.800,22.937,47,10173,317,0,0,0
1771859268.803,23.942,14,10620,447,0,0,0
1771859269.789,24.958,34,11036,416,1,0,0
1771859270.831,25.963,3,11457,421,0,0,0
1771859271.810,26.973,27,11770,313,0,0,0
1771859272.870,27.988,24,12123,353,0,0,0
1771859273.836,28.993,28,12545,422,0,0,0
1771859274.810,29.993,29,12908,363,0,0,0
1771859275.855,30.998,32,13372,464,0,0,0
1771859276.889,32.012,41,13879,507,0,0,0
1771859277.904,33.027,36,14421,542,0,0,0
1771859278.899,34.037,38,14882,461,0,0,0
1771859279.938,35.042,34,15334,452,0,0,0
1771859280.929,36.067,34,15844,510,0,0,0
1771859281.954,37.067,30,16327,483,0,0,0
1771859282.920,38.072,39,16796,469,0,0,0
1771859283.961,39.072,35,17310,514,0,0,0
1771859284.964,40.078,32,17785,475,0,0,0
1771859285.944,41.083,30,18275,490,0,0,0
1771859286.930,42.088,35,18737,462,0,0,0
1771859288.014,43.088,37,19270,533,0,0,0
1771859288.939,44.098,33,19748,478,0,0,0
1771859289.999,45.098,23,20246,498,0,0,0
1771859291.004,46.108,31,20769,523,0,0,0
1771859292.045,47.138,30,21260,491,0,0,0
1771859293.031,48.153,30,21725,465,0,0,0
1771859294.029,49.154,32,22200,475,0,0,0
1771859295.020,50.154,27,22675,475,0,0,0
1771859296.062,51.154,27,23183,508,0,0,0
1771859297.002,52.154,27,23644,461,0,0,0
1771859298.017,53.164,30,24164,520,0,0,0
1771859299.016,54.164,31,24651,487,0,0,0
1771859300.054,55.165,34,25186,535,0,0,0
1771859301.027,56.170,30,25595,409,0,0,0
1771859302.003,57.175,42,25961,366,1,0,0
1771859303.081,58.175,43,26311,350,0,0,0
1771859304.038,59.180,36,26665,354,0,0,0
1771859305.053,60.185,19,27064,399,0,0,0
1771859306.054,61.185,33,27533,469,0,0,0
1771859307.051,62.186,31,28032,499,0,0,0
1771859308.013,63.186,29,28536,504,0,0,0
1771859309.049,64.186,35,29028,492,0,0,0
1771859310.053,65.196,31,29518,490,0,0,0
1771859311.048,66.196,21,30036,518,0,0,0
1771859312.033,67.206,27,30529,493,0,0,0
1771859313.103,68.207,32,31024,495,0,0,0
1771859314.074,69.212,27,31499,475,1,0,0
1771859315.050,70.217,29,31966,467,0,0,0
1771859316.115,71.232,31,32484,518,0,0,0
1771859317.089,72.233,31,32973,489,0,0,0
1771859318.135,73.248,35,33460,487,0,0,0
1771859319.130,74.263,27,33959,499,0,0,0
1771859320.130,75.273,30,34441,482,0,0,0
1771859321.101,76.273,32,34946,505,0,0,0
1771859322.155,77.283,42,35454,508,0,0,0
1771859323.160,78.299,28,35941,487,0,0,0
1771859324.166,79.299,30,36385,444,0,0,0
1771859325.160,80.299,33,36865,480,0,0,0
1771859326.196,81.299,34,37369,504,0,0,0
1771859327.160,82.299,27,37814,445,0,0,0
1771859328.205,83.299,27,38343,529,0,0,0
1771859329.160,84.299,27,38783,440,0,0,0
1771859330.181,85.299,26,39272,489,0,0,0
1771859331.185,86.304,28,39719,447,0,0,0
1771859332.190,87.304,32,40196,477,1,0,0
1771859333.181,88.304,37,40672,476,0,0,0
1771859334.146,89.304,27,41029,357,0,0,0
1771859335.141,90.305,30,41447,418,0,0,0
1771859336.152,91.310,27,41927,480,0,0,0
1771859337.202,92.325,32,42422,495,0,0,0
1771859338.254,93.341,36,42964,542,0,0,0
1771859339.187,94.341,25,43446,482,0,0,0
1771859340.178,95.341,32,43939,493,0,0,0
1771859341.213,96.341,26,44438,499,0,0,0
1771859342.208,97.351,33,44907,469,0,0,0
1771859343.198,98.366,36,45390,483,0,0,0
1771859344.238,99.366,29,45871,481,0,0,0
1771859345.238,100.372,29,46330,459,0,0,0
1771859346.214,101.377,30,46824,494,0,0,0
1771859347.239,102.377,28,47341,517,0,0,0
1771859348.233,103.381,31,47824,483,0,0,0
1771859349.248,104.382,32,48334,510,0,0,0
1771859350.219,105.382,23,48841,507,0,0,0
1771859351.248,106.382,26,49340,499,0,0,0
1771859352.274,107.402,21,49861,521,0,0,0
1771859353.283,108.411,34,50333,472,0,0,0
1771859354.283,109.422,30,50795,462,0,0,0
1771859355.289,110.432,29,51281,486,0,0,0
1771859356.299,111.432,27,51765,484,0,0,0
1771859357.295,112.443,26,52246,481,0,0,0
1771859358.295,113.443,30,52762,516,0,0,0
1771859359.322,114.443,42,53233,471,0,0,0
1771859360.306,115.448,34,53728,495,0,0,0
1771859361.300,116.468,46,54235,507,0,0,0
1771859362.424,117.488,40,54762,527,0,0,0
1771859363.362,118.488,36,55204,442,0,0,0
1771859364.370,119.503,41,55700,496,0,0,0
