Disconnect Peak Curve (gateway_session_unregister delta/sample)
===============================================================
    0.9s |  0
    1.9s | ########################## 384
    2.9s | ################################## 499
    4.0s | ################################ 479
    5.0s | ############################## 451
    6.0s | ############################# 430
    7.0s | ############################ 407
    8.0s | ############################## 446
    9.0s | ############################# 422
   10.0s | ################################### 517
   11.0s | ################################### 515
   12.0s | ################################ 476
   13.0s | ################################### 523
   14.0s | #################################### 536
   15.0s | ###################################### 555
   16.0s | ################################## 498
   17.1s | ################################## 509
   18.1s | ################################## 508
   19.1s | #################################### 527
   20.1s | #################################### 527
   21.1s | ################################# 484
   22.1s | ############################### 457
   23.1s | ############################### 452
   24.1s | ################################# 483
   25.1s | ############################## 445
   26.1s | ############################### 459
   27.1s | ############################### 461
   28.1s | ################################# 488
   29.1s | ########################## 388
   30.1s | ########################### 395
   31.1s | ###################################### 569
   32.1s | #################################### 540
   33.1s | ###################################### 559
   34.1s | #################################### 531
   35.1s | ###################################### 565
   36.1s | ################################## 496
   37.2s | ##################################### 550
   38.2s | ###################################### 557
   39.2s | ################################## 510
   40.2s | ################################### 523
   41.2s | #################################### 536
   42.2s | #################################### 531
   43.2s | ################################### 513
   44.2s | #################################### 527
   45.2s | ##################################### 547
   46.2s | #################################### 526
   47.2s | #################################### 535
   48.2s | #################################### 532
   49.3s | #################################### 532
   50.3s | ###################################### 556
   51.3s | ###################################### 568
   52.3s | ################################## 504
   53.3s | ##################################### 544
   54.3s | ####################################### 578
   55.3s | #################################### 540
   56.3s | ######################################## 592
   57.3s | ################################### 520
   58.3s | ################################### 524
   59.3s | ######################################## 585
   60.3s | ###################################### 563
   61.3s | ##################################### 553
   62.3s | ##################################### 547
   63.3s | ######################################## 585
   64.3s | ################################## 501
   65.3s | ####################################### 584
   66.4s | ################################## 501
   67.4s | ####################################### 576
   68.4s | ################################### 518
   69.4s | ##################################### 544
   70.4s | #################################### 531
   71.4s | ###################################### 562
   72.4s | ################################## 505
   73.4s | ###################################### 555
   74.4s | ##################################### 545
   75.4s | ##################################### 541
   76.4s | ##################################### 548
   77.4s | ##################################### 550
   78.4s | ################################# 488
   79.4s | ###################################### 556
   80.5s | ################################### 525
   81.5s | #################################### 527
   82.5s | ##################################### 551
   83.5s | ################################### 521
   84.5s | ##################################### 543
   85.5s | #################################### 528
   86.5s | ##################################### 554
   87.5s | #################################### 530
   88.5s | ##################################### 543
   89.5s | ################################### 512
   90.5s | #################################### 532
   91.5s | ##################################### 549
   92.5s | #################################### 534
   93.5s | ###################################### 560
   94.6s | #################################### 535
   95.6s | ##################################### 546
   96.6s | ##################################### 547
   97.6s | ##################################### 547
   98.6s | ################################# 495
   99.6s | #################################### 530
  100.6s | #################################### 534
  101.6s | ####################################### 576
  102.6s | ################################# 494
  103.6s | ################################### 522
  104.6s | ################################# 493
  105.6s | #################################### 536
  106.6s | ####################################### 577
  107.7s | ################################ 480
  108.7s | ##################################### 544
  109.7s | ################################### 522
  110.7s | ###################################### 562
  111.7s | ################################## 506
  112.7s | ################################### 524
  113.7s | ##################################### 545
  114.7s | ##################################### 542
  115.7s | #################################### 533
  116.7s | ################################### 514
  117.7s | ####################################### 573
  118.7s | ################################ 481
  119.7s | ####################################### 571
