phase,unix_ts,elapsed_sec,connections,session_unregister_total,session_unregister_delta,disconnect_queue_size,udp_send_errors_total,udp_send_errors_delta
business,1771903507.126,0.081,33,0,0,0,0,0
business,1771903508.069,1.081,128,0,0,0,0,0
business,1771903509.070,2.082,128,0,0,0,0,0
business,1771903510.070,3.082,128,128,128,0,0,0
business,1771903511.071,4.083,77,179,51,0,0,0
business,1771903512.071,5.083,128,256,77,0,0,0
business,1771903513.071,6.083,4,381,125,1,0,0
business,1771903514.070,7.083,128,384,3,0,0,0
business,1771903515.093,8.083,58,512,128,0,0,0
business,1771903516.071,9.083,128,512,0,0,0,0
business,1771903517.071,10.084,128,640,128,0,0,0
business,1771903518.071,11.084,128,640,0,0,0,0
business,1771903519.072,12.084,128,768,128,0,0,0
business,1771903520.073,13.084,128,768,0,0,0,0
business,1771903521.072,14.085,128,896,128,0,0,0
business,1771903522.073,15.085,128,896,0,0,0,0
business,1771903523.090,16.089,128,1024,128,0,0,0
business,1771903524.077,17.089,128,1024,0,0,0,0
business,1771903525.077,18.089,128,1024,0,0,0,0
business,1771903526.087,19.089,128,1152,128,0,0,0
business,1771903527.078,20.089,128,1152,0,0,0,0
business,1771903528.078,21.090,128,1152,0,0,0,0
business,1771903529.148,22.100,128,1280,128,0,0,0
business,1771903530.089,23.100,128,1280,0,0,0,0
business,1771903531.088,24.100,128,1280,0,0,0,0
business,1771903532.132,25.101,128,1408,128,0,0,0
business,1771903533.130,26.101,128,1408,0,0,0,0
business,1771903534.088,27.101,128,1408,0,0,0,0
business,1771903535.146,28.110,128,1536,128,0,0,0
business,1771903536.097,29.110,128,1536,0,0,0,0
business,1771903537.099,30.110,128,1536,0,0,0,0
business,1771903538.972,31.111,32,1664,128,0,0,0
business,1771903539.950,32.111,128,1664,0,0,0,0
business,1771903540.949,33.112,0,1792,128,0,0,0
business,1771903541.994,34.122,128,1792,0,0,0,0
business,1771903542.989,35.131,128,1792,0,0,0,0
business,1771903543.969,36.131,128,1792,0,0,0,0
business,1771903544.968,37.131,128,1792,0,0,0,0
business,1771903545.969,38.131,128,1920,128,0,0,0
business,1771903546.969,39.131,128,1920,0,0,0,0
business,1771903547.970,40.132,128,2048,128,0,0,0
business,1771903548.973,41.132,128,2048,0,0,0,0
business,1771903549.969,42.132,128,2176,128,0,0,0
business,1771903550.971,43.132,128,2176,0,0,0,0
business,1771903551.971,44.132,128,2304,128,0,0,0
business,1771903552.971,45.133,128,2304,0,0,0,0
business,1771903554.051,46.133,128,2432,128,0,0,0
business,1771903555.045,47.133,128,2432,0,0,0,0
business,1771903556.040,48.143,128,2432,0,0,0,0
business,1771903556.982,49.144,128,2432,0,0,0,0
business,1771903557.982,50.144,128,2432,0,0,0,0
business,1771903558.982,51.144,128,2560,128,0,0,0
business,1771903559.983,52.144,122,2566,6,0,0,0
business,1771903560.982,53.144,128,2688,122,0,0,0
business,1771903561.982,54.145,128,2688,0,0,0,0
business,1771903562.982,55.145,128,2816,128,0,0,0
business,1771903563.983,56.145,50,2894,78,0,0,0
business,1771903565.032,57.155,128,2944,50,0,0,0
business,1771903565.992,58.155,128,2944,0,0,0,0
business,1771903566.992,59.155,0,3072,128,0,0,0
business,1771903567.993,60.155,128,3072,0,0,0,0
business,1771903568.993,61.155,0,3200,128,0,0,0
business,1771903569.993,62.155,128,3200,0,0,0,0
business,1771903571.891,63.158,63,3328,128,0,0,0
business,1771903572.866,64.159,128,3328,0,0,0,0
business,1771903573.889,65.159,128,3456,128,0,0,0
business,1771903574.867,66.159,128,3456,0,0,0,0
business,1771903575.868,67.159,128,3584,128,0,0,0
business,1771903576.869,68.162,128,3584,0,0,0,0
business,1771903577.869,69.162,128,3584,0,0,0,0
business,1771903578.868,70.162,128,3584,0,0,0,0
business,1771903579.869,71.162,128,3584,0,0,0,0
business,1771903580.871,72.163,128,3584,0,0,0,0
business,1771903581.870,73.163,0,3712,128,0,0,0
business,1771903582.871,74.163,128,3712,0,0,0,0
business,1771903583.931,75.163,85,3840,128,0,0,0
business,1771903584.871,76.163,128,3840,0,0,0,0
business,1771903585.883,77.163,124,3968,128,0,0,0
business,1771903586.870,78.163,128,3968,0,0,0,0
business,1771903587.870,79.163,128,3968,0,0,0,0
business,1771903588.870,80.164,128,3968,0,0,0,0
business,1771903589.871,81.164,128,3968,0,0,0,0
business,1771903590.872,82.164,128,3968,0,0,0,0
business,1771903591.914,83.165,128,4096,128,0,0,0
business,1771903592.910,84.180,128,4096,0,0,0,0
business,1771903593.908,85.189,128,4096,0,0,0,0
business,1771903594.897,86.190,128,4096,0,0,0,0
business,1771903595.949,87.195,128,4224,128,0,0,0
business,1771903596.901,88.195,128,4224,0,0,0,0
business,1771903597.904,89.195,128,4224,0,0,0,0
business,1771903598.909,90.198,128,4352,128,0,0,0
business,1771903599.905,91.198,128,4352,0,0,0,0
business,1771903600.905,92.198,0,4480,128,0,0,0
