workload,step,target_offered_qps,offered_qps,effective_qps,elasticity,effective_qps_source,tick_p99_ms,overrun_rate,drain_budget_hit_rate,mailbox_util_avg,queue_slope,global_overflow_rate,hard_backpressure_rate,gateway_forward_rate,disconnect_overflow_rate,gateway_service_disconnect_rate,logic_service_disconnect_rate,service_link_reset_observed,healthy,logic_overload_window,threshold_hits,verdict
W0-Control,0,40.000,39.000,0.000,1.000,unavailable,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,false,"",INCONCLUSIVE
W0-Control,1,80.000,79.000,0.000,0.000,unavailable,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,false,"",INCONCLUSIVE
W0-Control,2,120.000,119.000,0.000,0.000,unavailable,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,false,"",INCONCLUSIVE
W0-Control,3,160.000,159.000,0.000,0.000,unavailable,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,false,"",INCONCLUSIVE
W0-Control,4,200.000,199.000,0.000,0.000,unavailable,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,false,"",INCONCLUSIVE
W0-Control,5,240.000,239.000,0.000,0.000,unavailable,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,false,"",INCONCLUSIVE
W0-Control,6,280.000,279.000,0.000,0.000,unavailable,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,false,"",INCONCLUSIVE
W0-Control,7,320.000,319.000,0.000,0.000,unavailable,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,false,"",INCONCLUSIVE
W1-MixedGameplay,0,160.000,159.000,0.000,1.000,unavailable,0.000,0.000,0.000,0.000,0.000,0.000,0.000,149.000,0.000,0.000,0.000,false,true,false,"",FALSIFIED
W1-MixedGameplay,1,208.000,207.000,190.000,3.958,logic_routed_processed_total,0.000,0.000,0.000,0.000,0.000,0.000,0.000,187.000,0.000,0.000,0.000,false,true,false,"",FALSIFIED
W1-MixedGameplay,2,256.000,255.000,229.000,0.812,logic_routed_processed_total,0.000,0.000,0.000,0.000,0.000,0.000,0.000,235.000,0.000,0.000,0.000,false,true,false,"",FALSIFIED
W1-MixedGameplay,3,304.000,303.000,281.000,1.083,logic_routed_processed_total,0.000,0.000,0.000,0.000,0.000,0.000,0.000,272.000,0.000,0.000,0.000,false,true,false,"",FALSIFIED
W1-MixedGameplay,4,352.000,351.000,303.000,0.458,logic_routed_processed_total,0.000,0.000,0.000,0.000,0.000,0.000,0.000,321.000,0.000,0.000,0.000,false,true,false,"",FALSIFIED
W1-MixedGameplay,5,400.000,399.000,377.000,1.542,logic_routed_processed_total,0.000,0.000,0.000,0.000,0.000,0.000,0.000,360.000,0.000,0.000,0.000,false,true,false,"",FALSIFIED
W2-WriteHeavy,0,160.000,159.000,157.000,1.000,logic_routed_processed_total,0.000,0.000,0.000,0.000,0.000,0.000,0.000,158.000,0.000,0.000,0.000,false,true,false,"",FALSIFIED
W2-WriteHeavy,1,208.000,207.000,205.000,1.000,logic_routed_processed_total,0.000,0.000,0.000,0.000,0.000,0.000,0.000,208.000,0.000,0.000,0.000,false,true,false,"",FALSIFIED
W2-WriteHeavy,2,256.000,255.000,252.000,0.979,logic_routed_processed_total,0.000,0.000,0.000,0.000,0.000,0.000,0.000,254.000,0.000,0.000,0.000,false,true,false,"",FALSIFIED
W2-WriteHeavy,3,304.000,303.000,301.000,1.021,logic_routed_processed_total,0.000,0.000,0.000,0.000,0.000,0.000,0.000,304.000,0.000,0.000,0.000,false,true,false,"",FALSIFIED
W2-WriteHeavy,4,352.000,351.000,347.000,0.958,logic_routed_processed_total,0.000,0.000,0.000,0.000,0.000,0.000,0.000,350.000,0.000,0.000,0.000,false,true,false,"",FALSIFIED
W2-WriteHeavy,5,400.000,399.000,392.000,0.938,logic_routed_processed_total,0.000,0.000,0.000,0.000,0.000,0.000,0.000,400.000,0.000,0.000,0.000,false,true,false,"",FALSIFIED
